Year,Biochar,Biofuel,Building,Exterior_use,Home_application,Newspaper,Graphic_paper,Packing_paper,Household_paper
1961,12447848,285763275,179817095,74300620,194099473,87011926.43,173635256.1,90560756,59754273.15
1962,12004344,282588127,188776252,99492208,170293682,78939655.08,169884777.9,100679310.2,56458287.6
1963,17763045,293701143,189602353,71383467,163003331,82517436.43,179487717,118224284.8,55771351.35
1964,13488027,317514750,201606208,89926368,201289465,82973952.49,162347422.4,106247953.2,84998362.02
1965,12462545,326586600,190270120,93319026,189989838,72378637.76,175700310.5,98258720.56,51498692.96
1966,13084697,255960434,201930729,91623122,170589992,75160658.43,171935383.6,106079559.3,45787691.95
1967,18666057,365141962,263979446,103106821,214368003,76395953.92,187590137,134044293.2,55132761.97
1968,20574956,381017700,233307017,122175329,255778170,72798873.29,183746460,148497140.2,47523533.2
1969,19883409,388955568,257074182,116624578,229249413,77136026.11,194270118.9,154780241.3,53122107.61
1970,24669112,358771256,246565393,81127693,227717621,73648371.94,195671170,166777925.6,65388902.15
1971,21277933,404831306,289510048,133892896,218620473,84068693.28,203286157.4,155742588.4,56975464.26
1972,17703035,416738110,302059612,112688979,223625815,83725454.67,211037020.5,143141774.5,63462609.21
1973,17237241,412769175,287456784,96221024,275924690,75967287.11,222946806.9,153641066.2,50860418.18
1974,22718180,420707044,282003345,133731463,274402352,72075725.15,233526750.6,144919082.9,65996340.41
1975,16702891,433616059,281799820,112835660,255040419,79292852.21,217790615.9,143759022.6,55569053.54
1976,18546037,436582782,293202438,134213317,267305661,81088787.78,240620365.7,155543878.5,58436373.71
1977,19363320,444520650,307731730,114321038,272811265,85611125.6,246196359,144372219.4,84410047.15
1978,16451392,452458519,300503005,157416782,315567596,77583431.64,251251961,162090627.3,65703882.53
1979,25752129,467540469,322224307,124494538,265588515,78756064.53,230993986.1,153229078.9,84065246.98
1980,36655264,413903156,300366058,127418244,327236615,79387306.57,264816203.1,164318886.2,81715014.81
1981,25275762,484209994,350596397,129303486,318404288,74944183.6,277438961.8,157050269.1,96112783.91
1982,30519518,476272125,345823732,127139556,313488960,83009999.93,250474753.1,171514185.7,78943404.54
1983,34405898,444520650,331747291,113784297,310604221,89008543.91,249992394.1,180393802.2,89741361.71
1984,27504715,436582782,278054144,119103313,260174568,87094321.6,252852946.1,170626514.6,76848912.14
1985,17929604,408233250,289320652,117524285,231350555,84704637.16,238427866.8,171201965.2,73052147.74
1986,33207734,530136234,279697343,139527411,298463742,90098090.94,256050257.3,154236619.7,77651689.83
1987,32062639,539775074,289698532,109775612,296685340,86305217.57,251449092.2,133223933.7,72789229.37
1988,57952180,549413915,300968283,129673201,325942342,87624409.73,275456701.5,160790791.6,80578496.57
1989,56755036,559052757,295237491,95646792,298671096,93414927.32,258273152.3,145993786.5,76557716.95
1990,60560716,572191190,297644177,120371689,311079795,86091967.39,305711251.6,158477034.4,58860823.45
1991,25074885,616393448,357030201,144612724,322064912,86727693.91,282102457.8,158800776.4,75576446.66
1992,32655706,617076842,419330560,142538071,307089063,97983118.09,342486881.9,157868171.9,93584122.06
1993,42787167,603315951,316326685,126421080,316675145,89700389.35,298285367.4,169830217.7,101032141.2
1994,58112001,589132204,375003717,150433811,290466235,89467170.65,318520882.7,156178033.4,93489167.2
1995,32660644,630027858,415248248,139633477,307903187,99978883.29,280342799.9,155550548,92405619.02
1996,57474148,643751659,366215641,171402643,341461270,98489448.2,297743171.4,155914179.9,95775080.83
1997,28871347,673934338,416384846,195571478,343697251,94048330.09,273663075.4,154659888.2,94679270.4
1998,61231313,667007772,347724442,153023083,364807680,90422241.91,314882159,148460034.6,92672182.46
1999,58134314,591517239,337281086,137377046,334308763,86238056.19,285355619.1,153071557.2,90455655.29
2000,42942945,602454335,284623055,137231671,368198232,79875631.55,238664537.5,146278266.4,92792338.21
2001,22923238,612265981,406642656,129170111,273049672,79169082.85,307184878,135097205.1,94479559.46
2002,46484873,645623232,433829093,138743981,289182383,60904435.02,248268254.5,135491463.3,97834468.16
2003,25803818,578042525,328739638,115886886,328046636,65448550.31,321987760.4,135833364.8,101150851.2
2004,50815147,630148151,341733613,116357801,363493332,53818985.22,278717676.4,141957611.5,113359111.6
2005,57873622,537659066,385656522,186245530,414605109,43781652.2,235946107.5,129349629,100262408
2006,31197047,677019249,482822851,210221321,392884334,41682058.99,261369033.6,129766894.4,89468294.63
2007,85996257,798924717,318638753,154881098,376917814,41756773.63,229992391.2,135112786.4,97379756.76
2008,44595806,711938150,329892641,102532077,281157517,45753959.68,262388409.1,136817462.2,87629080.11
2009,58482153,833079099,261404250,82938463,277096424,37464152.44,223884071.8,126770313.7,96802335.63
2010,59675109,832985885,275525044,95292589,258156781,40168313.9,218275280.1,117189478.1,107042076.6
2011,50378205,611089341,287079142,91744127,247542475,42130608.52,217869540.5,113102336.5,104560873.6
2012,29092056,616879903,311203987,108802449,236779681,43646291.26,178412419.9,106178403.8,112135311.9
2013,71142259,669889444,286886468,83963402,289017279,41139609.94,179200827.5,102308217.4,108277855.4
2014,52573872,741312346,259689322,102290622,305827265,34416000.19,159934326,102188233.3,107812093
2015,60401810,762649111,274615410,109886452,290643067,31943916.29,128878441.1,96827426.41,104001234.5
2016,35470718,544363390,237703468,110280521,293459996,31644949.05,144207878.1,88656190.48,103843266.7
2017,48680342,590494201,235827242,106136752,275081125,37945064.3,155835594.2,86698825.07,112326327
2018,57581788,559263677,302876239,103760343,276085911,34402532.45,132422458.7,77926903.34,105527908.2
2019,22357743,440459863,330737954,103505804,254613046,31094663.6,127626516.2,84641877.32,104546792.4
