Year,Charcoal,Building,Exterior_use,Home_application,Paper,Landfill
1961,23589533,179603587,73562497,192392831,308351606,18234886
1962,46320609,367930047,171267762,359377152,510340892,53176594
1963,74888110,556832076,240011660,517437499,633506602,105342562
1964,99810295,757459291,326198859,711720757,530376206,144512727
1965,123757824,946469943,414566176,892625247,545839937,184323457
1966,145221549,1146831760,499958320,1052110481,517063002,220402630
1967,176226416,1408842671,595357375,1252867934,498518400,229471544
1968,209338186,1639796613,708065236,1492039943,539749606,248360511
1969,241647918,1894084865,813408291,1701771992,566435765,261268238
1970,277065282,2137421499,881687608,1906939383,586202140,290491895
1971,310488389,2423186394,1000564928,2099922691,616230714,323605640
1972,340413071,2720943277,1096164825,2294652119,626273132,362214045
1973,369326147,3003529023,1173288393,2537831911,626536381,406975819
1974,403578251,3280071424,1285458963,2775498475,628721364,457018268
1975,431950188,3555791981,1374368801,2989829520,639577902,509768123
1976,461881132,3842253715,1481990393,3212204675,631051226,564178183
1977,492533732,4142534751,1567150297,3435673207,650456148,592934617
1978,520218276,4434852403,1692328439,3696968424,688803052,653836830
1979,557305580,4748097119,1781725163,3903634479,698297833,718616668
1980,602538157,5038679054,1871081145,4166628706,689123229,787608173
1981,638713006,5378591322,1959268004,4415393413,716732838,860756701
1982,679263514,5712796380,2042193281,4653744879,749843101,906075192
1983,721851298,6031966152,2108743734,4883604823,741297453,982671188
1984,756745367,6296506524,2177506056,5057746856,749385150,1062306863
1985,780605249,6571325183,2241568596,5197941031,745706039,1147515814
1986,824027177,6835503508,2324276806,5399470817,719802210,1236719538
1987,866114883,7108613650,2374145446,5593370799,717762399,1327872053
1988,933555523,7391868803,2440634172,5810340760,697381430,1422104180
1989,999284369,7668231637,2470159296,5994008549,725756548,1518359385
1990,1068396457,7945792719,2521266318,6183886687,733468723,1614163171
1991,1103311363,8281415861,2593260948,6378401223,744531366,1712640514
1992,1145257979,8677891624,2659868406,6551674487,757552031,1799257486
1993,1196086482,8969983165,2707237017,6728155305,821145670,1900050993
1994,1260781634,9319252703,2775309882,6872256897,840743141,2003992278
1995,1301105487,9707166254,2829421912,7027475539,823290112,2110151639
1996,1365897982,10044447639,2911883528,7209643662,800650585,2215506299
1997,1402785690,10430184228,3014891820,7387419428,800682539,2324318890
1998,1470816252,10745568944,3072175448,7579501599,787353729,2437140714
1999,1531885508,11048776051,3110854143,7734558507,793947379,2549006310
2000,1577568517,11297598338,3146509584,7916717215,785162290,2660127201
2001,1603268358,11666516562,3171390141,7997805315,726333849,2771711859
2002,1653172618,12060604773,3203131317,8089052919,741300828,2880096292
2003,1679329957,12347648955,3209620366,8212942731,715400387,2986294401
2004,1731854286,12645660720,3214293198,8365827538,740105230,3090236851
2005,1786972458,12985459374,3285987417,8562994987,753681072,3193152692
2006,1820522511,13420112350,3378613334,8731855964,676464357,3296998500
2007,1912470037,13688396761,3413445186,8878376439,646871869,3400133490
2008,1958891922,13965680474,3394078211,8923691549,639814163,3502794998
2009,2023151384,14172245121,3353588849,8959681805,652049830,3606581371
2010,2087700994,14390630498,3323945385,8971790407,630475258,3711349354
2011,2133440383,14618203053,3289414712,8968608324,604926091,3814775706
2012,2157785826,14867451466,3270571373,8950266128,600041380,3918003204
2013,2225359319,15089907740,3225887803,8979500936,569552325,4021042021
2014,2276507490,15282672242,3198490170,9020910131,543795852,4122409420
2015,2335513114,15487800750,3177697681,9042800367,519126624,4220989519
2016,2360507062,15653449215,3156422522,9063326292,473783659,4316416746
2017,2400003946,15814609174,3130282899,9061632692,457434908,4408640169
2018,2446503030,16040081105,3101184985,9057284852,479137656,4497100841
2019,2452935967,16290596231,3071367024,9028184889,459471930,4583551636
