Year,Biochar,Biofuel,Building,Exterior_use,Home_application,Newspaper,Graphic_paper,Packing_paper,Household_paper
2011,543376500,7995155800,28928460005,10130901655,2701342259,2199232000,9865546000,21670524000,3400671000
2012,548500000,8001120400,28178285172,9676373825,2421421451,2108000000,9233400000,21098150000,3361000000
2013,518567500,8318585800,29342599799,9784986514,2263741979,1893625500,9033305000,20264256000,3497379500
2014,524130000,8340249400,30966286890,10078786935,2170631573,1792500000,9071739500,21220500000,3440135500
2015,533130000,8824970000,32223792855,10249439461,2050649734,1584423000,8623581000,21458811500,3482515000
2016,470906000,12402604800,29933460828,10278932828,2117817456,1513500000,8502005000,21484530000,3550836000
2017,473000500,12817600000,32234203586,9971643322,2198968264,1311356500,7948873500,21984904500,3559496000
2018,470121000,14281633000,33361400778,11022057355,2245787119,1147292000,7490031000,22197093500,3575902000
2019,465546000,14296450000,30137705300,10234159907,1972254551,952841000,6780764500,21830371500,3591770500
2020,490461500,12113410200,33199610976,9446262458,2398721984,708471000,5053468500,22264877500,3756693500
